"number","provider","credential","status","image_file","source_url"
"1","OpenAI Academy","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/001-openai-academy-certificate.webp","https://academy.openai.com/public/certificate/4vjheebp7n"
"2","Claude Academy","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/002-claude-academy-certificate.webp","https://academy.claude.com/verify/13103f134da7befe9615ec2adfc8c50e"
"3","Microsoft","AI Professional certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/003-microsoft-ai-professional-certificate.webp","https://realnumeracy.wordpress.com/2019/08/06/microsoft-artificial-intelligence-certificate-part-2/"
"4","Oracle","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/004-oracle-certificate.webp","https://catalog-education.oracle.com/pls/certview/sharebadge?id=2B40E8FBEAADE2BC32D2A28728EFE22FA85B609F980AD81B2E030CB696DD6A60"
"5","IBM SkillsBuild","AI Fundamentals certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/005-ibm-skillsbuild-ai-fundamentals-certificate.webp","https://www.iainkennedy.com/recruitment/certificates/ibm-skillsbuild-ai-fundementals.pdf"
"6","IBM Cognitive Class","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/006-ibm-cognitive-class-certificate.webp","https://courses.cognitiveclass.ai/certificates/d9a6fb51acfe4535aa54b1f5e1013afb"
"7","AWS","Machine Learning certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/007-aws-machine-learning-certificate.webp","https://www.slideshare.net/slideshow/aws-certificate-what-is-machine-learning/124675979"
"8","Google Cloud","Gen AI Academy certificate record","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/008-google-cloud-gen-ai-academy-certificate-record.webp","https://certificate.hack2skill.com/verify/2026H2S07GCGENAIAPACC2-P00186"
"9","NVIDIA DLI","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/009-nvidia-dli-certificate.webp","https://learn.nvidia.com/faq-content.html"
"10","Cisco","badge","PENDING_PUBLIC_CERTIFICATE_SAMPLE","02-pending-public-certificate-samples/010-cisco-badge.webp","https://www.credly.com/org/cisco/badge/introduction-to-modern-ai"
"11","Intel","AI course completion certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/011-intel-ai-course-completion-certificate.webp","https://community.intel.com/t5/Intel-Optimized-AI-Frameworks/Certification-for-Intel-AI-Data-Center-to-Edge/m-p/1163132"
"12","SAP","openSAP AI Record of Achievement","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/012-sap-opensap-ai-record-of-achievement.webp","https://stephenmillard.com/assets/training/it-sap/ai1_recordofachievement.pdf"
"13","Salesforce Trailhead","AI Associate credential record","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/013-salesforce-trailhead-ai-associate-credential-record.webp","https://trailhead.salesforce.com/en/credentials/certification-detail-print/?searchString=C6jrqwqTq9Eb8IeaGiHSMPu5L5bKiqGM0EbFulHmyNFFocvgz3Al87jvv%2F2%2FxtVo"
"14","University of Helsinki","certificate","VERIFIED_ACTUAL_CERTIFICATE","01-verified-actual-certificates/014-university-of-helsinki-certificate.webp","https://community.elementsofai.com/c/elements-faq/i-have-passed-an-elements-of-ai-course-where-is-my-certificate"
